date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
08/02/2020 9:16,SsE1j8MeFSuOZY9,sabqorg,0,0,0,وماذا عن إزعاج ما يزيد على ستة أشهر لأحياء سكنية وآلاف السكان ومئات الأسر وعشرات المساجد #معاناة_سكان_حطين وما جاورها معاناة ومأساة وظلم بين لا يزال دون التفات أو رفع أو استجابة,,,,1.23E+18,https://twitter.com/SsE1j8MeFSuOZY9/status/1226072318155350019
04/02/2020 22:03,Bndr888_,,0,0,0,عدلك يا رب #معاناه_سكان_حطين #البوليفارد,,,,1.22E+18,https://twitter.com/Bndr888_/status/1224815781223059457
24/01/2020 20:02,Bndr888_,,1,0,0,إلا قرقعة ودوشة قارفينا ببيتي قال فن قال #ليله_فنانه_العرب_احلام #معاناه_سكان_حطين #البوليفارد,,,,1.22E+18,https://twitter.com/Bndr888_/status/1220799072463937538
21/01/2020 21:03,Bndr888_,,1,0,0,٦ شهور محبورة اعيش ببيتي والبوليفارد يردح على راسي !!! #البوليفارد مشاركنا بيتنا اش هالتجني وعدم احترام حرمات الناس الله يخوي روسهم مثل ما اخووا روسنا بسماعاتهم طوال اليوم !! #معاناة_سكان_حطين #حطين,,,,1.22E+18,https://twitter.com/Bndr888_/status/1219727341787799552
19/01/2020 21:59,Gahed0,,0,0,0,في شويه معرصين حطين الصورة دي ، انا مش مطالبه اقعد اشرح معاناة اللي تعبنا واحنا بنشرحها وانتوا خنزير ناطقه مبتفهمش ، اي حد حاطط الصورة دي احب اقوله *اسكت ياعر ص* #سواد_لأجل_أرواح_النساء,,,,1.22E+18,https://twitter.com/Gahed0/status/1219016623878737920
18/01/2020 20:01,Bndr888_,,1,0,0,حسبي الله ونعم الوكيل عدلك يا رب العالمين #معاناة_سكان_حطين,,,,1.22E+18,https://twitter.com/Bndr888_/status/1218624554727288834
16/01/2020 20:50,shathaalsalem,,0,0,0,حلول المرور مشاكل. يقفلون اليوتيرن اللي عند اشارة تركي الأول يقال لهم بيخففون الزحمه والحاصل زحمه ممتده لما حطين! ودي اوقف السياره وارجع البيت مشي #معاناة_سكان_حي_النخيل,,,,1.22E+18,https://twitter.com/shathaalsalem/status/1217912074015322112
13/01/2020 20:17,Bndr888_,,1,0,0,عدلك يا رب في المسؤول عن هذا الازعاج و السماعات المسعورة الله يجعل حوبة ازعاج الحي في منازلهم ما تتعاداه في صحته و رزقه حسبي الله ونعم الوكيل #حطين #البوليفارد #معاناة_سكان_حطين,,,,1.22E+18,https://twitter.com/Bndr888_/status/1216816683177955331
12/01/2020 22:22,HanadiM1,,1,0,0,اتمنى نلقى حل لهذي المشكلة جدا جدا جدا متعب الازعاج والصوت الصاخب مو قادرين ننام الليل اضبطو مستوى الصوت وتكون في رقابة قويه اذا مسؤولين الصوت يبالغون اتمنى القى حل لهذي المشكلة .. وشكرا @Turki_alalshikh #معاناه_سكان_حطين #حي_حطين ,,#NAME?,,1.22E+18,https://twitter.com/HanadiM1/status/1216485512728469506
01/01/2020 10:51,inter700,,0,0,0,#معاناه_سكان_حطين اقول روقو يااهل حطين المتر عندكم ب ٥٠٠٠الآف مايضركم ترفيه ,,,,1.21E+18,https://twitter.com/inter700/status/1212325458496368641
