replies,retweets,favorites,text,day,time
0,0,0,وماذا عن ازعاج ما يزيد على سته اشهر لاحياء سكنيه وآلاف السكان ومئات الاسر وعشرات المساجد   وما جاورها معاناه وماساه وظلم بين لا يزال دون التفات او رفع او استجابه,02/08/2020,09:16
0,0,0,عدلك يا رب    ,02/04/2020,22:03
1,0,0,الا قرقعه ودوشه قارفينا ببيتي قال فن قال      ,24/01/2020,20:02
1,0,0,٦ شهور محبوره اعيش ببيتي والبوليفارد يردح على راسي    مشاركنا بيتنا اش هالتجني وعدم احترام حرمات الناس الله يخوي روسهم مثل ما اخووا روسنا بسماعاتهم طوال اليوم     ,21/01/2020,21:03
0,0,0,في شويه معرصين حطين الصوره دي  انا مش مطالبه اقعد اشرح معاناه اللي تعبنا واحنا بنشرحها وانتوا خنزير ناطقه مبتفهمش  اي حد حاطط الصوره دي احب اقوله اسكت ياعر ص  ء,19/01/2020,21:59
1,0,0,حسبي الله ونعم الوكيل عدلك يا رب العالمين  ,18/01/2020,20:01
0,0,0,حلول المرور مشاكل يقفلون اليوتيرن اللي عند اشاره تركي الاول يقال لهم بيخففون الزحمه والحاصل زحمه ممتده لما حطين ودي اوقف السياره وارجع البيت مشي  ,16/01/2020,20:50
1,0,0,عدلك يا رب في المسؤول عن هذا الازعاج و السماعات المسعوره الله يجعل حوبه ازعاج الحي في منازلهم ما تتعاداه في صحته و رزقه حسبي الله ونعم الوكيل      ,13/01/2020,20:17
1,0,0,اتمنى نلقى حل لهذي المشكله جدا جدا جدا متعب الازعاج والصوت الصاخب مو قادرين ننام الليل اضبطو مستوى الصوت وتكون في رقابه قويه اذا مسؤولين الصوت يبالغون اتمنى القى حل لهذي المشكله  وشكرا       ,01/12/2020,22:22
0,0,0,  اقول روقو يااهل حطين المتر عندكم ب ٥٠٠٠الآف مايضركم ترفيه ,01/01/2020,10:51
2,0,3,ازعاج وعدم احترام للناس  ومن غير اي اعلان ان فيه العاب ناريه الساعه ١٢  هذا ترويع للآمنين في بيوتهم  ,01/01/2020,08:24
1,4,0,نايمين في امان الله وفجاه الساعه ١٢ الليل العاب ناريه  قمت مرتاعه احسبه انفجار حسبي الله ونعم الوكيل مستمره الى ٢ الفجر ليه ماارسلتو رسائل للناس      ,01/01/2020,05:25
0,1,0,هنا التعليق  ,31/12/2019,23:32
0,3,2,      من اعطاكم الحق في ترويع اطفالنا ونساءنا وشيوخنا قايمين من النوم الساعه ١٤٠ ص على اصوات حرب وانفجارات في   بدون انذار مسبق حتى الموضوع كانه اذيه متعمده للسكان   ,31/12/2019,22:58
1,5,1,  حسبي الله ونعم الوكيل الاطفاال وكبار السن وش ذنبهم يصحون على الالعاب اصوات رعب  ,31/12/2019,22:56
0,1,1,ورجعوا يشغلون الالعاب الناريه في الليل ووقت متاخر   ,31/12/2019,22:52
3,7,2,  طبيعي هالاصوات تسمعها داخل حي سكني هالوقت بدون سابق انذار ونقوم من الروعه ,31/12/2019,22:48
0,0,0,استغفرالله  ,31/12/2019,22:47
2,0,0,  حسبنا الله ونعم والوكيل,31/12/2019,22:47
0,0,0,جاري التفعيل   ,31/12/2019,22:47
0,0,1,العاب ناريه الساعه ٢ بالليل عجزت لا انام  ,31/12/2019,22:42
1,1,1,  للان مفجوعه وما قدرت انام س١ من الانفجاربدون سبق انذار ليش التنديد بمن اعلن الاحتفال في حريملاحسبي الله وكفى ما اسوا من حديث النعمه الا حديث الحريه والموضه والتقليد الاعمى هذا تسفيه وليس ترفيه  الله لا يسلط علينا اصوات قنابل الحرب بدل قنابل الافساد,31/12/2019,21:57
1,3,7,للاسف معاناه حي حطين ما زلت مستمره بالزحمه والالعاب ناريه باوقات متاخره دون اعلان مسبق ومع عدم مراعاه  ١ حي سكني  ٢ وجود كبار سن  ٣ وجود مرضى  ٤  يوم دوام  اتمنى تنظرون لموضوع الاحتفالات من زاويه اخرى     2020  ,31/12/2019,21:36
0,2,0,  الله يكون في عونكم حسبنا الله ونعم الوكيل,31/12/2019,21:30
0,2,0,قله ادب ومافي اي احترام للسكان ومسئولين فاشلين مسوين الفعاليات والعاب ناريه وسط حي سكني ناهـيك عن الناس الي جايين من كل مكان ع الحي    ,31/12/2019,21:12
1,1,0,  اكثر ناس مستعدين للقصف في حال قامت حرب لا سمح الله ,31/12/2019,21:06
4,2,0,  حسبنا الله ونعم الوكيل,31/12/2019,21:04
0,0,0,  ,28/12/2019,00:01
1,1,1,  اللي مسؤول عن بوابات استديوات البوليفارد سكرها صوت الطرب ما خلانا ننوم  ,26/12/2019,21:45
0,0,0,الطم    ,26/12/2019,02:44
2,1,0,  الله الله الله اليوم الحاره رجعت لوضعها الطبيعي,19/12/2019,19:11
1,0,0,يارب لك الحمد اليوم حي   رجع لوضعه الانساني و بيتي زي بيوت العالم ساكن و رايق   مقفل الله لا يعيدك من مشروع  ,19/12/2019,15:50
1,0,0,اعانكم الله واضح ان فيه معاناه حقيقيه تعيشونها   ,19/12/2019,11:08
0,0,1,استفزاز هذا مو ترفيه حسبنا الله حسبنا الله ونعم الوكيل      ,18/12/2019,23:16
0,0,0,  عظم الله اجرنا,18/12/2019,23:10
2,2,1,اغاني البوليفارد اليوم بزياده مرفعين الصوت و الله من كثر حاجتي للنوم بدون ازعاج بكيت من القهر صدعت بشكل فضيع حسبي الله احس الحفله بالبيت من قوه الصوت  ,18/12/2019,23:04
0,0,0,  حسبنا الله ونعم الوكيل,18/12/2019,22:56
0,2,0,عدلك يا رب في المسؤول عن هذا الاستهتار    حي سكني ليه انقلبت بيوت الناس ازعاج و ردح   ,18/12/2019,22:42
0,1,0,حسبي الله ونعم الوكيل لا الطلاب ذاكروا ولاناموا من ازعاج اغاني حفلات الرياض  ,18/12/2019,22:40
0,0,0,انا بالدرعيه وانفقع راسي ما عرفت ارقد  كله كوم والكوم الثاني يخي ترانا وسط اسبوع والساعه بتجي ثنتين  اقلها اركدو شوي يخي  انا مدري من يرقص ذا الحزه وبها البرد  ,18/12/2019,22:37
0,0,0,الساعه ١٣٠ هذا غير منطقي والكل عنده اختبارات نهائيه بعد كم ساعه  ,18/12/2019,22:32
1,6,4,نبي ننوم معليييش ازعاج يوم من الدرعيه يوم من البوليفارد هذا وانا وسط الحي اقسم بالله كانهم في غرفتي من علي الصوت القولكم مكان تسوون فيه حفلات بعيد من منطقه سكنيه  ,18/12/2019,22:31
0,4,2,  يوميا في اخر الليل ردحه وازعاج متواصل كانهم في نص البيت ماصار ترفيه صار هبال وقلق وستهتار حسبنا الله عليكم لا الناس في الحي عرفو يدرسون ولا ينامون والمصيبه الاكبر اننا بفتره اختبارات,18/12/2019,22:10
4,2,1,لا مصخت مب طبيعي الوضع قبل كم يوم اصوات الالعاب الناريه روعتنا بنص الليل قسم بالله جتني ام الركب احسبه صواريخ والحين يوميا ردحه وازعاج متواصل كانهم بينا بنص البيت ماصار ترفيه هذا اسمه قلق قلللق      ,17/12/2019,21:32
0,0,1,متى بيطفون اغانيهم       ,17/12/2019,21:31
0,0,0,وش هالروعه الساعه ١ونص العاب ناريه احترموا الوقت فيه اطفال وكبار بالسن ترعبهم هالاصوات  ,15/12/2019,22:07
0,0,0,فعلا البارحه ليله الاحد قمت مفزوعه من صوت انفجارات الالعاب الناريه من الخوف احسبه حرب الله يحفظناالعاده يوم الخميس ازعاج لكن ليله دوام ومدارسهذي مافيها مراعاه لكبير سن ولا مريض ولا طفل ولا اللي وراهم دوام ومدارس حرام كيذا فعلا تعذيب نفسي  ,15/12/2019,19:00
2,3,2,  الساعه ٢ م ,15/12/2019,14:46
0,1,0,وقت الاختبارات يتوقع ان الجميع يهتم بعيالهم وبهدوء المكان لهم واحنا ننزعج من العاب ناريه للمكان الترفيهي الموجود في حارتنا يارب يكون فيه دراسه للموقع قبل ينشا مكان ترفيهي بحي سكني  ,15/12/2019,13:00
0,1,1,  امس كنت نائمه ياربي قمت مروعه ونافذتي ع الجهه الاخرى ما بلغونا ان فيه العاب يارب متى ينتهي هالعذاب,15/12/2019,11:41
0,0,0,  ابيع بيتي وين اروح,15/12/2019,10:00
0,4,0,  العاده كل خميس في الساعه التاسعه نكون مستعدين نفسيا للازعاج وللالعاب الناريه اللي تهز بيوتنا لكن فجاه وبدون مقدمات تسمع صوت قوي يهز بيتك وكان البيوت ما فيها اوادم على ١٢٠٠ الليل شي يحزززن قسم باللله بيتنا ماعاد فيه راحه وهدووء,14/12/2019,22:15
8,10,3,  اليوم السبت وليله دوام وش المناسبه ترا ماكثر من شي سمج ,14/12/2019,19:53
