,replies,retweets,favorites,text,day,time,tokens,normalized,tokenized,predictions,username
0,0,0,0,وماذا عن إزعاج ما يزيد على ستة أشهر لأحياء سكنية وآلاف السكان ومئات الأسر وعشرات المساجد   وما جاورها معاناة ومأساة وظلم بين لا يزال دون التفات أو رفع أو استجابة,02/08/2020,09:16,"['وماذا', 'إزعاج', 'يزيد', 'ستة', 'أشهر', 'لأحياء', 'سكنية', 'وآلاف', 'السكان', 'ومئات', 'الأسر', 'وعشرات', 'المساجد', 'جاورها', 'معاناة', 'ومأساة', 'وظلم', 'يزال', 'التفات', 'رفع', 'استجابة']", وماذا ازعاج يزيد سته اشهر لاحياء سكنيه والاف السكان ومئات الاسر وعشرات المساجد جاورها معاناه وماساه وظلم يزال التفات رفع استجابه,"['وماذا', 'ازعاج', 'يزيد', 'سته', 'اشهر', 'لاحياء', 'سكنيه', 'والاف', 'السكان', 'ومئات', 'الاسر', 'وعشرات', 'المساجد', 'جاورها', 'معاناه', 'وماساه', 'وظلم', 'يزال', 'التفات', 'رفع', 'استجابه']",negative,SsE1j8MeFSuOZY9
1,0,0,0,عدلك يا رب    ,02/04/2020,22:03,"['عدلك', 'رب']", عدلك رب,"['عدلك', 'رب']",positive,Bndr888_
2,1,0,0,إلا قرقعة ودوشة قارفينا ببيتي قال فن قال      ,24/01/2020,20:02,"['قرقعة', 'ودوشة', 'قارفينا', 'ببيتي', 'قال', 'فن', 'قال']", قرقعه ودوشه قارفينا بيتي قال فن قال,"['قرقعه', 'ودوشه', 'قارفينا', 'بيتي', 'قال', 'فن', 'قال']",negative,Bndr888_
3,1,0,0,٦ شهور محبورة اعيش ببيتي والبوليفارد يردح على راسي    مشاركنا بيتنا اش هالتجني وعدم احترام حرمات الناس الله يخوي روسهم مثل ما اخووا روسنا بسماعاتهم طوال اليوم     ,21/01/2020,21:03,"['٦', 'شهور', 'محبورة', 'اعيش', 'ببيتي', 'والبوليفارد', 'يردح', 'راسي', 'مشاركنا', 'بيتنا', 'اش', 'هالتجني', 'وعدم', 'احترام', 'حرمات', 'الناس', 'الله', 'يخوي', 'روسهم', 'مثل', 'اخووا', 'روسنا', 'بسماعاتهم', 'طوال', 'اليوم']", ٦ شهور محبوره اعيش بيتي والبوليفارد يردح راسي مشاركنا بيتنا اش هالتجني وعدم احترام حرمات الناس اله يخوي روسهم مثل اخوا روسنا بسماعاتهم طوال اليوم,"['٦', 'شهور', 'محبوره', 'اعيش', 'بيتي', 'والبوليفارد', 'يردح', 'راسي', 'مشاركنا', 'بيتنا', 'اش', 'هالتجني', 'وعدم', 'احترام', 'حرمات', 'الناس', 'اله', 'يخوي', 'روسهم', 'مثل', 'اخوا', 'روسنا', 'بسماعاتهم', 'طوال', 'اليوم']",negative,Bndr888_
4,0,0,0,في شويه معرصين حطين الصورة دي  انا مش مطالبه اقعد اشرح معاناة اللي تعبنا واحنا بنشرحها وانتوا خنزير ناطقه مبتفهمش  اي حد حاطط الصورة دي احب اقوله اسكت ياعر ص  ء,19/01/2020,21:59,"['شويه', 'معرصين', 'حطين', 'الصورة', 'دي', 'انا', 'مش', 'مطالبه', 'اقعد', 'اشرح', 'معاناة', 'اللي', 'تعبنا', 'واحنا', 'بنشرحها', 'وانتوا', 'خنزير', 'ناطقه', 'مبتفهمش', 'اي', 'حد', 'حاطط', 'الصورة', 'دي', 'احب', 'اقوله', 'اسكت', 'ياعر', 'ص', 'ء']", شويه معرصين حطين الصوره دي انا مش مطالبه اقعد اشرح معاناه الي تعبنا واحنا بنشرحها وانتوا خنزير ناطقه مبتفهمش اي حد حاط الصوره دي احب اقوله اسكت ياعر ص ء,"['شويه', 'معرصين', 'حطين', 'الصوره', 'دي', 'انا', 'مش', 'مطالبه', 'اقعد', 'اشرح', 'معاناه', 'الي', 'تعبنا', 'واحنا', 'بنشرحها', 'وانتوا', 'خنزير', 'ناطقه', 'مبتفهمش', 'اي', 'حد', 'حاط', 'الصوره', 'دي', 'احب', 'اقوله', 'اسكت', 'ياعر', 'ص', 'ء']",negative,Gahed0
5,1,0,0,حسبي الله ونعم الوكيل عدلك يا رب العالمين  ,18/01/2020,20:01,"['حسبي', 'الله', 'ونعم', 'الوكيل', 'عدلك', 'رب', 'العالمين']", حسبي اله ونعم الوكيل عدلك رب العالمين,"['حسبي', 'اله', 'ونعم', 'الوكيل', 'عدلك', 'رب', 'العالمين']",positive,Bndr888_
6,0,0,0,حلول المرور مشاكل يقفلون اليوتيرن اللي عند اشارة تركي الأول يقال لهم بيخففون الزحمه والحاصل زحمه ممتده لما حطين ودي اوقف السياره وارجع البيت مشي  ,16/01/2020,20:50,"['حلول', 'المرور', 'مشاكل', 'يقفلون', 'اليوتيرن', 'اللي', 'اشارة', 'تركي', 'الأول', 'يقال', 'بيخففون', 'الزحمه', 'والحاصل', 'زحمه', 'ممتده', 'حطين', 'ودي', 'اوقف', 'السياره', 'وارجع', 'البيت', 'مشي']", حلول المرور مشاكل يقفلون اليوتيرن الي اشاره تركي الاول يقال بيخفون الزحمه والحاصل زحمه متده حطين ودي اوقف السياره وارجع البيت مشي,"['حلول', 'المرور', 'مشاكل', 'يقفلون', 'اليوتيرن', 'الي', 'اشاره', 'تركي', 'الاول', 'يقال', 'بيخفون', 'الزحمه', 'والحاصل', 'زحمه', 'متده', 'حطين', 'ودي', 'اوقف', 'السياره', 'وارجع', 'البيت', 'مشي']",negative,shathaalsalem
7,1,0,0,عدلك يا رب في المسؤول عن هذا الازعاج و السماعات المسعورة الله يجعل حوبة ازعاج الحي في منازلهم ما تتعاداه في صحته و رزقه حسبي الله ونعم الوكيل      ,13/01/2020,20:17,"['عدلك', 'رب', 'المسؤول', 'الازعاج', 'و', 'السماعات', 'المسعورة', 'الله', 'يجعل', 'حوبة', 'ازعاج', 'الحي', 'منازلهم', 'تتعاداه', 'صحته', 'و', 'رزقه', 'حسبي', 'الله', 'ونعم', 'الوكيل']", عدلك رب المسؤول الازعاج و السماعات المسعوره اله يجعل حوبه ازعاج الحي منازلهم تعاداه صحته و رزقه حسبي اله ونعم الوكيل,"['عدلك', 'رب', 'المسؤول', 'الازعاج', 'و', 'السماعات', 'المسعوره', 'اله', 'يجعل', 'حوبه', 'ازعاج', 'الحي', 'منازلهم', 'تعاداه', 'صحته', 'و', 'رزقه', 'حسبي', 'اله', 'ونعم', 'الوكيل']",negative,Bndr888_
8,1,0,0,اتمنى نلقى حل لهذي المشكلة جدا جدا جدا متعب الازعاج والصوت الصاخب مو قادرين ننام الليل اضبطو مستوى الصوت وتكون في رقابة قويه اذا مسؤولين الصوت يبالغون اتمنى القى حل لهذي المشكلة  وشكرا       ,01/12/2020,22:22,"['اتمنى', 'نلقى', 'حل', 'لهذي', 'المشكلة', 'جدا', 'جدا', 'جدا', 'متعب', 'الازعاج', 'والصوت', 'الصاخب', 'مو', 'قادرين', 'ننام', 'الليل', 'اضبطو', 'مستوى', 'الصوت', 'وتكون', 'رقابة', 'قويه', 'اذا', 'مسؤولين', 'الصوت', 'يبالغون', 'اتمنى', 'القى', 'حل', 'لهذي', 'المشكلة', 'وشكرا']", اتمني نلقي حل لهذي المشكله جدا جدا جدا متعب الازعاج والصوت الصاخب مو قادرين نام اليل اضبطو مستوي الصوت وتكون رقابه قويه اذا مسؤولين الصوت يبالغون اتمني القي حل لهذي المشكله وشكرا,"['اتمني', 'نلقي', 'حل', 'لهذي', 'المشكله', 'جدا', 'جدا', 'جدا', 'متعب', 'الازعاج', 'والصوت', 'الصاخب', 'مو', 'قادرين', 'نام', 'اليل', 'اضبطو', 'مستوي', 'الصوت', 'وتكون', 'رقابه', 'قويه', 'اذا', 'مسؤولين', 'الصوت', 'يبالغون', 'اتمني', 'القي', 'حل', 'لهذي', 'المشكله', 'وشكرا']",negative,HanadiM1
9,0,0,0,  اقول روقو يااهل حطين المتر عندكم ب ٥٠٠٠الآف مايضركم ترفيه ,01/01/2020,10:51,"['اقول', 'روقو', 'يااهل', 'حطين', 'المتر', 'عندكم', 'ب', '٥٠٠٠الآف', 'مايضركم', 'ترفيه']", اقول روقو ياهل حطين المتر عندكم ب ٥٠الاف مايضركم ترفيه,"['اقول', 'روقو', 'ياهل', 'حطين', 'المتر', 'عندكم', 'ب', '٥٠الاف', 'مايضركم', 'ترفيه']",negative,inter700
10,2,0,3,ازعاج وعدم احترام للناس  ومن غير أي اعلان ان فيه ألعاب نارية الساعة ١٢  هذا ترويع للآمنين في بيوتهم  ,01/01/2020,08:24,"['ازعاج', 'وعدم', 'احترام', 'للناس', 'اعلان', 'ان', 'ألعاب', 'نارية', 'الساعة', '١٢', 'ترويع', 'للآمنين', 'بيوتهم']", ازعاج وعدم احترام لناس اعلان ان العاب ناريه الساعه ١٢ ترويع لامنين بيوتهم,"['ازعاج', 'وعدم', 'احترام', 'لناس', 'اعلان', 'ان', 'العاب', 'ناريه', 'الساعه', '١٢', 'ترويع', 'لامنين', 'بيوتهم']",negative,AljabrNadyah
